gene_symbol	logFC	P.Value	adj.P.Val	dataset	FDR_lt_0_05
ADAMTS7	-1.07667064079099	0.0013320065511856	0.136100330918451	GSE243023	False
PHTF2	0.718938622892957	0.0013716721894851	0.136367239863067	GSE243023	False
CUBN	0.884123625322668	0.0013733254406541	0.136367239863067	GSE243023	False
DCAF12L1	1.17526289242662	0.0013806878478612	0.136367239863067	GSE243023	False
PNPLA2	-1.08636960290372	0.0013850308832736	0.136367239863067	GSE243023	False
FAM160B1	0.807880204873941	0.0013978220085797	0.136367239863067	GSE243023	False
ITGB5	-0.636169891121066	0.0014283986805319	0.136367239863067	GSE243023	False
SLC48A1	-0.863252370236761	0.0014298349361766	0.136367239863067	GSE243023	False
AK4	0.857115375007637	0.0014422319193747	0.136367239863067	GSE243023	False
JADE1	0.841595357847743	0.0014427818961256	0.136367239863067	GSE243023	False
SUOX	-0.593441848918797	0.0014666371067371	0.136367239863067	GSE243023	False
NAGA	-0.557846361376019	0.0014670747750388	0.136367239863067	GSE243023	False
GLIS2	-0.82067178386317	0.0014882671273623	0.136367239863067	GSE243023	False
DDX58	0.724134949461582	0.0014945997796424	0.136367239863067	GSE243023	False
EML2	-0.65068732529125	0.0015204597873498	0.136367239863067	GSE243023	False
MYNN	0.637039387477254	0.0015245783868287	0.136367239863067	GSE243023	False
CLK3	-0.700332916020929	0.0015311621345864	0.136367239863067	GSE243023	False
LHX6	-1.23186867449169	0.0015346033875307	0.136367239863067	GSE243023	False
PLEKHM3	1.18302363402801	0.0015348488669205	0.136367239863067	GSE243023	False
MBD5	0.657055673360857	0.0015748115271992	0.136367239863067	GSE243023	False
RC3H2	0.59353967951408	0.0015767058477923	0.136367239863067	GSE243023	False
SRC	-0.788580073877832	0.0015848741091444	0.136367239863067	GSE243023	False
NLK	0.640904014881678	0.0015994136520064	0.136367239863067	GSE243023	False
PKDCC	-1.08725885485927	0.0016004542019837	0.136367239863067	GSE243023	False
COL12A1	0.825566085251144	0.0016185597975699	0.136367239863067	GSE243023	False
ZBED6	1.32901699832755	0.0016219437853625	0.136367239863067	GSE243023	False
TOMM34	-0.634954360424556	0.0016344808446407	0.136367239863067	GSE243023	False
NUP62	-0.627306939806956	0.0016368807887142	0.136367239863067	GSE243023	False
GAPVD1	0.516429886542246	0.0016515876381616	0.136367239863067	GSE243023	False
CEP350	0.653744541135213	0.0016564325284925	0.136367239863067	GSE243023	False
ARID5B	0.71323936565523	0.0016589179818268	0.136367239863067	GSE243023	False
PPP5C	-0.774714303089015	0.0016629746552524	0.136367239863067	GSE243023	False
PPIL2	-0.632225259396478	0.0016631403190406	0.136367239863067	GSE243023	False
MAP3K10	-0.94488213936561	0.0016804865640981	0.136944190373714	GSE243023	False
SH3RF1	0.563925852354288	0.0017197022858646	0.138267317891399	GSE243023	False
GALE	-0.69031180740162	0.0017242760368117	0.138267317891399	GSE243023	False
VPS13A	0.76190716757726	0.0017279511232381	0.138267317891399	GSE243023	False
MAN1A2	0.666205209964109	0.0017486262104464	0.139083844032095	GSE243023	False
SEC14L2	-0.479978205450236	0.0017593292345553	0.139102203705943	GSE243023	False
WDTC1	-0.77043819882523	0.0017784372039385	0.139717560194806	GSE243023	False
SMARCB1	-0.849906346806999	0.001790464333495	0.139717560194806	GSE243023	False
EIF3C	-0.492384946201108	0.0017986676799903	0.139717560194806	GSE243023	False
MRPL10	-0.571876937857681	0.0018210639795829	0.140265812004892	GSE243023	False
C9orf64	0.887423587962257	0.0018770110283232	0.140265812004892	GSE243023	False
ACE	-1.26675199712131	0.0018791706259385	0.140265812004892	GSE243023	False
NRIP1	0.793150253971217	0.0018848806138413	0.140265812004892	GSE243023	False
NRK	1.14579359927258	0.0018904345843952	0.140265812004892	GSE243023	False
CARD10	-0.764038563344684	0.0018929800575293	0.140265812004892	GSE243023	False
MFSD6	0.683045568350413	0.0019245607342599	0.140265812004892	GSE243023	False
MCRS1	-0.611067376470745	0.0019299809151003	0.140265812004892	GSE243023	False
MCM5	-1.06577267839702	0.0019436981359424	0.140265812004892	GSE243023	False
ANKRD50	0.644430609153284	0.0019498469853891	0.140265812004892	GSE243023	False
NAT10	-0.606041884061221	0.0019578567386726	0.140265812004892	GSE243023	False
