gene_symbol	strict_lodo_FDR_candidate	meta_FDR	GSE243023_logFC	GSE205050_logFC	GSE10723_logFC
NRGN	True	0.0007797950240299	-1.0393173009654	-0.590049111132897	-0.29701988875
FAM177A1	True	0.0007806736609055	0.45931880006166	0.465095415667622	0.19444260425
CGRRF1	True	0.0007970002889098	0.924705161957008	0.140080334376393	0.50176831725
GJA1	True	0.0008154602194556	0.643391055875675	0.170912548215796	0.65683571175
TMEM165	True	0.0008154602194556	0.589749828637987	0.0815007123460756	0.513697672
ASCC2	True	0.0008185655873651	-0.734874424334434	-0.275347027545737	-0.22620536175
GOLGB1	True	0.0008185655873651	0.346017382058617	0.401474462877231	0.25706848125
SLC39A10	True	0.0008185655873651	0.840576209024385	0.335688996597733	0.25090357475
PEAK1	True	0.0008351326400961	0.246510192922124	0.222687839006078	0.5120383125
TCEAL8	True	0.0008443529533736	0.287031318476831	0.301201293929116	0.26701893625
CHIC2	True	0.0008538354875146	0.745855569048058	0.18444430073741	0.40354136775
MRPL37	True	0.0008643294052626	-0.492213840381988	-0.304220518445912	-0.469251054
ERBIN	True	0.0008660331680569	0.581126742800467	0.208475940164609	0.404586945
TMEM109	True	0.0008806430949867	-0.350832006453429	-0.206956259432224	-0.286983634249999
CTNNBL1	True	0.0009282726581004	-0.312167088515476	-0.311555866914462	-0.40368095575
BCKDHA	True	0.0009514599431279	-0.718682148428455	-0.199866563205781	-0.48811250775
MAD2L2	True	0.0009554359543592	-0.839373958443643	-0.173550777318205	-0.517819047
PSMC5	True	0.0010417328016548	-0.254236245908183	-0.206705163638927	-0.92055101675
CBY1	True	0.001063869008463	-0.56869281472514	-0.559923688959231	-0.252389821
PSMD8	True	0.001063869008463	-0.368506655141052	-0.227166766228171	-0.5173464045
S100A16	True	0.0010844827251314	-0.430118703316934	-0.144130811395048	-0.48324395775
NPEPPS	True	0.0010850607884649	0.325059297137628	0.202894398185145	0.41672497575
DUSP3	True	0.001091437627039	0.375184157398893	0.132603782912079	0.527225578
NOC2L	True	0.0011006559194607	-0.836064148184646	-0.255614225639307	-0.2280306985
VAC14	True	0.0011006559194607	-0.631970875380365	-0.202207684837175	-0.260567573
PROCR	True	0.0011157550843791	-0.327113813468535	-0.233381999984729	-0.397379253750001
TJP1	True	0.0011773065117204	0.28612626679992	0.270639357113883	0.443887767
TM2D2	True	0.001195768049924	0.331370145507876	0.242251754216182	0.416900243
SEMA3F	True	0.0012482081870284	-0.652244752901253	-0.147991135546937	-0.4882172495
CAP2	True	0.0013097548138049	0.68750388287467	0.400672025448681	0.33141644725
AXL	True	0.001411881524883	-0.435465646734276	-0.409982913720116	-0.2936659145
FLII	True	0.0014338888199144	-0.504263036643243	-0.238454379427461	-0.20615604375
DDX19B	True	0.0014470574415275	-0.436921536820511	-0.163262727600502	-0.51915306
SECISBP2L	True	0.0014543606356344	0.52063444581205	0.217579621323391	0.14275970375
RIOK3	True	0.001481639171473	0.459948550646722	0.0658393325195803	0.472902287
AFF1	True	0.00151912296499	0.37183433261139	0.81432594295468	0.38044584025
BOP1	True	0.0016028057572631	-0.789505475936124	-0.383586181259799	-0.423804733
NME1	True	0.0016263537169086	-0.383175890596585	-0.916497609489138	-0.50424641525
CXCL8	True	0.0016324102167202	0.706141881294035	1.95640599557313	0.6476773285
DYNLT3	True	0.0016664149206122	0.277355534560869	0.287962712105847	0.4834783795
RAB29	True	0.0016664149206122	0.353926966599926	0.156330969813055	0.408267795
RALY	True	0.0016664149206122	-0.749955874593231	-0.169275883124041	-0.40224308225
PRICKLE1	True	0.0017781555916668	0.292827421887861	0.276646473510827	0.338853972
RIPK2	True	0.0017789070522689	0.55436730513831	0.228056247978709	0.29936740575
SLC20A1	True	0.0020476907958526	0.266280699587223	0.23106945395018	0.37957423525
RWDD2A	True	0.0021706233594093	0.392830095976275	0.296584943078845	0.26144293225
RAB32	True	0.0021872538486298	0.40565679276317	0.265392979961952	0.372065101
FAT4	True	0.002188525275903	0.501914048469771	1.07999119798934	0.3939539515
SLC25A11	True	0.0021946343305222	-0.318261715562253	-0.254190026114467	-0.419035732
